,Sentence,Sentiment
2992,"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009",neutral
6908,"Good News in History, March 2",positive
1491,Autotank Group is part of Aspo 's Systems Division .,neutral
3639,"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications .",neutral
5330,"In addition , Kone signed a two-year maintenance contract for the escalators .",positive
6746,Gala for Animals Lebanon Raises $45K for Critter Welfare,positive
6126,"Tiny Town in Newfoundland Hosts 10,000 Stranded Airline Passengers on 9-11",positive
4860,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,positive
6669,Company Founder Surprises Employees With $20 Million: ‘I wanted to show some gratitude’,positive
676,"In the Baltic countries , sales fell by 42.6 % .",neutral
6616,"Bank of America Pledges $1 Billion to Fight Racial Inequality; Apple, Facebook, Verizon Give $10M Each",positive
3418,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative
6978,This Couple Has Been Serving Free Lunches to Everyone in Town So People Feel Less Lonely,positive
4227,Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,positive
2651,"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % .",neutral
134,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive
6997,Buddhist Chemist Invents Non-Toxic Paint Stripper,positive
5563,"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral
4995,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",neutral
5594,"FTSE 100 drops 2.5 pct on Glencore, metals price fears",negative
2518,"Steve Jackson , eBusiness Analyst at Satama and former CEO of Aboavista said : `` Google broke the mold when they gave away Google Analytics for free .",neutral
1546,"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .",neutral
3215,@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive
9,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral
1605,$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive
4678,Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,negative
4184,InterContinental Hotels Group share price climbs on $1.5bn special dividend,positive
4426,Olli-Pekka Kallasvuo was elected as vice chairman of the Board .,neutral
6953,Support Group Using Sheep Helps People Improve Their Mental Health,positive
4795,LONDON AFX - Fortum said it has agreed to sell its industrial maintenance service operations to funds managed by CapMan for an undisclosed sum .,neutral
524,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive
4036,"Nurminen Logistics provides high-quality logistics services , such as railway transports , terminal services , forwarding , special and heavy transports and medical transports .",neutral
844,"Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .",neutral
5205,The most significant challengers in the market are Logset and Sampo-Rosenlew .,neutral
6070,How Big Chains From Walmart to H&M Are Cleaning Up Chemicals,positive
4180,"Long Position on $GOL,...Updating http://stks.co/fdmm",positive
5780,Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,negative
5871,Lebron James to Help Lower High School Dropout Rate in US,positive
5550,"The negotiation has resulted in the reduction of 80 people in regular employment , around half of which will be covered with pension arrangements .",negative
1236,Poyry has a good track record of major transportation projects in Latin America .,positive
1568,"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",positive
1342,The company says the measures are no longer needed .,neutral
5173,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral
7027,Data Center Heats Nearby Homes,positive
583,"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",neutral
6060,How a New Member of Congress Used Toffee to Thaw Frozen Relations Between Democrats and Republicans,positive
933,Airbus will attempt to evacuate up to 873 people within 90 seconds .,neutral
4321,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .",positive
2961,"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",positive
3525,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,positive
40,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative
3699,The authorization is in force for a period of 18 months from the resolution by the General Meeting .,neutral
5335,The EA Reng group posted sales of approximately 84 million kroons for 2007 .,neutral
5969,Check Out Our Favorite Hairdos From The Beard and Mustache Championships,positive
2187,"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",neutral
1465,"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",neutral
2223,These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .,neutral
6979,Clean Cities Program Saves 375M Gallons Of Gas In 2006,positive
6515,"A Startup Is Using Recycled Plastic to 3D Print Tiny $25,000 Prefabricated Homes in LA",positive
1799,Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,negative
4830,"It holds 38 percent of Outokumpu 's shares and voting rights , but in 2001 lawmakers gave it permission to reduce the stake to 10 percent .",neutral
1511,FDA approves Shire's Vyvanse for binge-eating disorder,positive
101,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative
2619,The output of the contracts totals 72 MWe .,neutral
2125,The options might include a partial or total divestment of their shareholdings in Ovako .,neutral
6482,"Missing Cat Finally Reunited With Owner After It Was Found Wandering the Streets 1,400 Miles Away",positive
805,"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral
4119,"GENEVA , Feb. 10 -- Tero Aaltonen , Finland has developed a radio resource control method .",neutral
1918,Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,positive
2132,"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .",neutral
2025,AB InBev offers SABMiller $3 billion breakup fee,positive
706,The aim is to develop open-source application solutions .,neutral
4063,More than a third of the original participants dropped out due to nausea and other side effects .,neutral
328,"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",neutral
6471,Haiti: New Hotels Arise Amid Ruins in Capital,positive
1999,The layoff talks were first announced in August .,neutral
6134,Restaurant Owner Leaves Note For Dumpster Diver Promising Free Meal,positive
5283,"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",neutral
5656,`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral
6146,"Good News in History, May 12",positive
4569,"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",neutral
3773,"The Tekla Structures product box , if needed , is now made from recycled material .",neutral
5643,"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",negative
2335,The new policy was also aimed at making the companies more profitable and competitive .,positive
4586,Glencore Studies Possible IPO for Agricultural Trading Business,positive
495,"In February 2011 , new wording of Identity Documents Act that makes Mobile ID a state-approved electronic document as of February 1st 2011 entered into force .",neutral
1993,"BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million .",neutral
5447,Financial terms were n't disclosed .,neutral
5004,"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral
1816,It will also strengthen Ruukki 's offshore business .,positive
6050,Chase Gives $4Mil to Prepare Low Income Detroit Youth for Good Jobs,positive
6499,"Generous Boss Gives $12.7 Million to His Staff, Saying ‘Thank You’ As He Retires",positive
767,The diesel margin has remained high .,positive
5528,"Key reasons to read this report : - Report contains only relevant information , leaving out excessive data .",neutral
5982,"Abandoned Rail Line Ready for Bikes, Walking in Detroit",positive
4531,The energy shot is packed in a 100-millilitre bag with a screw cap .,neutral
29,All are welcome .,neutral
5139,"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .",neutral
1413,Insurance policies should be simple .,neutral
1503,"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",neutral
5221,Shell and BG Shareholders to Vote on Deal at End of January,neutral
2834,Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive
4987,Net profit in the period in 2009 was ( EURO ) 29 million .,neutral
3244,The full MidnightTrader extended-hours trading analysis and news service is available in real-time through COMTEX .,neutral
1179,"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral
2784,QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral
4853,$YHOO making new HOD,positive
2265,Part of the reductions will be made through retirement arrangements .,neutral
204,"The Company serves approximately 3,000 customers in over 100 countries .",neutral
4362,Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,positive
4482,The total value of the deal is USD 29mn .,neutral
3636,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,neutral
3483,Long $TSLA short $MBLY https://t.co/jSpUSzo6na,positive
5660,"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .",neutral
481,"GlaxoSmithKline targets growth across units, scraps ViiV IPO",positive
1196,Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive
240,Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,neutral
1584,"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",positive
3022,"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",neutral
5586,"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .",neutral
2575,The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .,neutral
4173,"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .",neutral
5555,"CapMan , the Stockholm-headquartered private equity firm , has held a first close on its second private equity real estate fund as it continues its push into the property sector .",neutral
6811,Young Millennials Spur Capitalism with a Conscience,positive
2372,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,positive
6391,1 Week Notice: Great Mentors Collection Available for Download – Virtually Free,positive
6600,New Guidelines Will Push Landfills to Convert Their Emissions into Electricity,positive
3628,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",positive
5895,The Trick to Ending Overthinking and Build the Business of Your Dreams,positive
1431,"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",neutral
4797,The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,neutral
236,The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,neutral
593,From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,neutral
3598,Production is scheduled to start by the end of April 2007 .,neutral
4632,$SBUX heading for the 200DMA and certain doom if it can not hold there.,negative
4564,"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",negative
2103,"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business .",neutral
6727,Momentum for Change in Africa Is Good Development News,positive
5182,Reported operating margin was a negative 5.9 % .,negative
6279,UNICEF Opens 200th School in Indonesia,positive
696,"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",neutral
4118,Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,positive
7049,U.S. Just Finalized the Largest Offshore Wind Sale in the Nation’s History,positive
1012,"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .",positive
349,Full-year operating result for 2008 was 3.6 million negative .,negative
5599,With this acquisition Panostaja Oyj further expands its business area specialising in digital printing .,positive
6592,Google Helping to Build the World’s Largest Solar Tower Power Plant,positive
5252,The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,neutral
2018,Okmetic revised its 2010 financial outlook based on its order book .,neutral
215,"The closing of the transaction is scheduled to take place on January 10 , 2008 .",neutral
289,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,neutral
5021,$RNN More bleeding Monday.,negative
5343,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,negative
1672,"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate .",neutral
6608,Bright Spot in Holiday Sales? Online Shopping,positive
7003,"In Addition to Being Wiener Dog Capital of the World, Town May Also Be One of the ‘Nicest Places’ Ever",positive
5047,"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",neutral
6939,UPDATE: Once a Homeless Man Now Independent and Hopeful for 2009,positive
3057,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral
3192,"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .",positive
2275,"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",neutral
6326,"Baboon, Bear, or Bison: Find Out Which Animal Personality Best Matches Yours in a Free Fun Quiz",positive
4380,"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .",neutral
4292,"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",neutral
5739,France raises concerns over proposed LSE-Deutsche Boerse deal,negative
292,"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",neutral
280,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral
4613,"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",neutral
142,The plant is expected to enter commercial operation by mid-2009 .,neutral
106,Aberdeen Asset Management Gains Foothold In China,positive
3718,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",positive
4494,The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,neutral
6401,"Surprising Jump in U.S. Consumer Confidence, Home Prices Perk Up",positive
3407,Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .,neutral
1534,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,positive
739,Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive
4290,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,neutral
155,$VMW  Got a nice push today following small sweepers of May C this morning,positive
6173,Chelsea Clinton to Report on Good News Stories for NBC,positive
1940,It is now the leading private road ambulance service company in Finland .,positive
5317,"The facility will be used to refinance Citycon 's existing credit facility , the company said .",neutral
5914,"Twitter Opens $3M Community Center, Helps Poor Families Reach Goals",positive
3312,"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",negative
120,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive
7030,This New German Car is Covered With Solar Panels and Charges As It Drives,positive
5686,"Following the move , Stora Enso holding in NewPage will remain unchanged .",neutral
1518,Long $X 24.62,positive
6871,"Anonymous Donor Gives Away $82,000 Worth of Gift Cards to All 1,400 Residents of Small Iowa Town",positive
3701,"In Sweden , there is an oversupply of pharmacies .",neutral
518,Royal Mail chairman Donald Brydon set to step down,negative
5947,"Good News in History, June 18",positive
3024,"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 .",positive
6505,Cheers For Good Deeds By Airlines to Rescue Stranded Travelers,positive
3360,"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",positive
4354,No changes in media activity were seen in October compared with September .,neutral
6020,Man Keeps Restaurant Open to Feed 500 Cops During London Attacks,positive
389,Financial details were not disclosed .,neutral
6242,Homeless Man Gets Housing and Work Thanks to Teen Girl Who Saw His Plea for a Job at a Bus Stop,positive
3911,"However , the production is almost entirely very labor intensive and based on small investments only .",neutral
2840,`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,neutral
5161,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",neutral
3415,The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .,positive
2242,$ELN longs...congrats...another HOD,positive
470,The measures result from decreased demand in technical design and product information .,neutral
821,"The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",neutral
1520,Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative
5327,$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,positive
6357,"Man With Cerebral Palsy, Autism Starts Can Collecting Business",positive
154,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive
4250,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",positive
1754,1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .,positive
6207,15 Quick Tips for Introverts Who Need to Network,positive
6007,"Laid Off in Lockdown, Construction Worker Starts Crafting Radiator Covers–And Earns First Million",positive
718,The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,neutral
1634,Consumption is forecast to grow by about 2 % .,positive
5937,Obama Announces Higher Fuel Standards For Trucks,positive
4476,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,neutral
5960,Livin’ Good Currency Ep. 26: Saga Elmohtasen on the Numbers Game of Hollywood,positive
448,One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,neutral
6370,A New Neighborhood is Being Built in Utah That Looks Like a European ‘One-Car Town’,positive
1633,The proposed consolidation activities will impact approximately 30 positions .,neutral
4844,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,neutral
3134,The company expects sales revenue of RMB8 .0 billion in 2009 .,neutral
